Degree Name,Guaranteed ATAR (2025/2026 Approx.),Prerequisites / Admission Requirements,Duration (Years)
Bachelor of Advanced Computing,90.00,Mathematics Extension 1,4
Bachelor of Advanced Computing (Dalyell Scholars),98.00,Mathematics Extension 1,4
Bachelor of Advanced Computing and Bachelor of Commerce,95.00,Mathematics Extension 1,5
Bachelor of Advanced Computing and Bachelor of Science,90.00,Mathematics Extension 1,5
Bachelor of Advanced Computing and Bachelor of Science (Health),90.00,Mathematics Extension 1,5
Bachelor of Advanced Computing and Bachelor of Science (Medical Science),90.00,Mathematics Extension 1,5
Bachelor of Applied Science (Diagnostic Radiography),96.00,None,4
Bachelor of Applied Science (Exercise Physiology),90.00,None,4
Bachelor of Applied Science (Exercise and Sport Science),82.00,None,3
Bachelor of Applied Science (Occupational Therapy),92.00,None,4
Bachelor of Applied Science (Physiotherapy),99.00,None,4
Bachelor of Applied Science (Speech Pathology),93.00,None,4
Bachelor of Architecture and Environments,85.00,None,3
Bachelor of Arts,80.00,None,3
Bachelor of Arts (Dalyell Scholars),98.00,None,3
Bachelor of Arts and Bachelor of Advanced Studies,80.00,None,4
Bachelor of Arts and Bachelor of Advanced Studies (International and Global Studies),85.00,None,4
Bachelor of Arts and Bachelor of Advanced Studies (Languages),90.00,None,4
Bachelor of Arts and Bachelor of Advanced Studies (Media and Communications),90.00,None,4
Bachelor of Arts and Bachelor of Advanced Studies (Politics and International Relations),90.00,None,4
Bachelor of Arts and Bachelor of Laws,99.50,None,5
Bachelor of Arts and Bachelor of Social Work,80.00,None,5
Bachelor of Arts and Doctor of Medicine,99.95,Assessment and Interview,7
Bachelor of Arts and Master of Nursing,80.00,None,4
Bachelor of Commerce,95.00,None,3
Bachelor of Commerce (Dalyell Scholars),98.00,None,3
Bachelor of Commerce and Bachelor of Advanced Studies,95.00,None,4
Bachelor of Commerce and Bachelor of Laws,99.50,None,5
Bachelor of Design (Interaction Design),80.00,None,3
Bachelor of Design (Interaction Design) and Bachelor of Advanced Studies,80.00,None,4
Bachelor of Design in Architecture,95.00,None,3
Bachelor of Design in Architecture (Honours) and Master of Architecture,97.00,None,5
Bachelor of Economics,91.00,None,3
Bachelor of Economics (Dalyell Scholars),98.00,None,3
Bachelor of Economics and Bachelor of Advanced Studies,91.00,None,4
Bachelor of Economics and Bachelor of Laws,99.50,None,5
Bachelor of Education (Early Childhood),77.00,Band 5 in 3 HSC subjects (incl English),4
Bachelor of Education (Health and Physical Education),80.00,Band 5 in 3 HSC subjects (incl English),4
Bachelor of Education (Primary),77.00,Band 5 in 3 HSC subjects (incl English),4
Bachelor of Education (Secondary) and Bachelor of Arts,80.00,Band 5 in 3 HSC subjects (incl English),4
Bachelor of Education (Secondary) and Bachelor of Science,80.00,Band 5 in 3 HSC subjects (incl English),4
Bachelor of Engineering Honours (Aeronautical),85.00,Mathematics Extension 1,4
Bachelor of Engineering Honours (Aeronautical) (Dalyell Scholars),98.00,Mathematics Extension 1,4
Bachelor of Engineering Honours (Aeronautical) and Bachelor of Arts,85.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Aeronautical) and Bachelor of Commerce,95.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Aeronautical) and Bachelor of Project Management,85.00,Mathematics Extension 1,5
Bachelor of Engineering Honours (Aeronautical) and Bachelor of Science,85.00,Mathematics Extension 1,5
